burtonator	title post	0.500 0.500	0.231 0.346 0.038 0.077 0.154 0.115 0.038 0.423 0.000 0.154 0.423
scatlett87	head period confidence true goals strong series burg pensblog	0.111 0.111 0.111 0.111 0.111 0.111 0.111 0.111 0.111	0.000 0.000 0.000 0.000 0.000 0.000 1.000 1.000 0.000 0.000 0.000
cyberplumber	broadcast urgent tstm watch thunderstorm reque severe	0.125 0.125 0.125 0.125 0.125 0.125 0.250	0.000 0.000 0.000 0.000 0.000 0.000 1.000 1.000 0.000 0.000 0.000
denidzo	break monitor projector jack pico bank netbook recommend	0.125 0.125 0.125 0.125 0.125 0.125 0.125 0.125	0.000 0.000 0.000 0.000 0.000 0.000 1.000 1.000 0.000 0.000 0.000
hidexthexkey	sims smokeyozzy	0.500 0.500	0.000 0.000 0.000 0.000 0.000 0.000 1.000 1.000 0.000 0.000 0.000
hokiepokie728	duet storm nick miley album going brothers fabro jonas song	0.100 0.100 0.100 0.100 0.100 0.100 0.100 0.100 0.100 0.100	0.000 0.000 0.000 0.000 0.000 0.000 1.000 1.000 0.000 0.000 0.000
caitlinhllywd	cleaning room	0.500 0.500	0.000 0.000 0.000 0.000 0.000 0.000 1.000 1.000 0.000 0.000 0.000
deaconsnacks	cheer flytographer	0.500 0.500	0.000 0.000 0.000 0.000 0.000 0.000 1.000 1.000 0.000 0.000 0.000
gadgetsguru	aurora dinner	0.500 0.500	0.000 0.000 0.000 0.000 0.000 0.000 1.000 1.000 0.000 0.000 0.000
holland_hotels	american amsterdam eden hotel dates	0.200 0.200 0.200 0.200 0.200	0.000 0.000 0.000 0.000 0.000 0.000 1.000 1.000 0.000 0.000 0.000
lunatic_xd	thin dammit	0.500 0.500	0.000 0.000 0.000 0.000 0.000 0.000 1.000 1.000 0.000 0.000 0.000
pattib0i	skype muffinbandit mate	0.333 0.333 0.333	0.000 0.000 0.000 0.000 0.000 0.000 1.000 1.000 0.000 0.000 0.000
